track_id,km,sleeper_id,beta_ballast,gpr_risk,geom_dev,sleeper_type,obstacle_flag,past_defects_count,noise_zone
Linea_MX_01,123.0,1,28.715540950491583,0,7.335105235311421,bloque,0,1,1
Linea_MX_01,123.00333611342786,2,59.960181698753786,3,4.542871437225661,concreto,0,0,1
Linea_MX_01,123.00667222685571,3,49.24467747077988,2,7.998402827268799,concreto,0,1,1
Linea_MX_01,123.01000834028358,4,22.40557929122862,0,6.966775949049112,concreto,0,0,1
Linea_MX_01,123.01334445371143,5,36.320996220471955,2,2.1490884399171546,concreto,1,0,1
Linea_MX_01,123.01668056713929,6,69.77154805645726,2,0.4393399002989362,madera,0,1,1
Linea_MX_01,123.02001668056714,7,10.0,0,5.238008748810749,concreto,0,0,1
Linea_MX_01,123.023352793995,8,38.566310567157345,2,2.1024793469763488,concreto,1,0,1
Linea_MX_01,123.02668890742285,9,63.98904388058301,3,5.130067423002164,concreto,0,2,1
Linea_MX_01,123.03002502085072,10,31.998893966023473,0,1.8065441870157755,concreto,0,3,1
Linea_MX_01,123.03336113427856,11,34.81670772566918,0,1.4163242404081773,concreto,0,0,1
Linea_MX_01,123.03669724770643,12,43.57936546594663,3,3.5770275713778577,concreto,0,0,1
Linea_MX_01,123.04003336113428,13,67.37084439186432,2,6.802301861223952,madera,0,0,1
Linea_MX_01,123.04336947456214,14,35.416470049730236,2,4.919619685940731,madera,0,1,1
Linea_MX_01,123.04670558798999,15,38.340270605309016,2,7.535125446015346,madera,0,0,1
Linea_MX_01,123.05004170141785,16,38.48473086572224,2,0.29931489083431817,madera,0,0,1
Linea_MX_01,123.0533778148457,17,78.08895124088184,3,0.8287685754031049,madera,0,1,1
Linea_MX_01,123.05671392827357,18,77.8017913346068,3,3.732508902519054,concreto,0,1,1
Linea_MX_01,123.06005004170142,19,60.060808468183154,2,10.497104149879206,concreto,0,2,1
Linea_MX_01,123.06338615512928,20,50.79279598762284,2,6.022858340687119,concreto,1,0,1
Linea_MX_01,123.06672226855713,21,56.06052863844363,2,0.8001617738658133,concreto,0,0,1
Linea_MX_01,123.07005838198499,22,67.36098042226199,2,3.771578641126876,concreto,0,0,1
Linea_MX_01,123.07339449541284,23,30.962491973964127,0,4.662144372403775,concreto,0,0,1
Linea_MX_01,123.0767306088407,24,62.63743567173155,3,2.293942763316975,concreto,0,1,1
Linea_MX_01,123.08006672226855,25,26.191789983764814,1,5.839824973169517,madera,0,1,1
Linea_MX_01,123.08340283569642,26,35.43372746319885,1,3.5306615855055816,concreto,0,1,1
Linea_MX_01,123.08673894912427,27,58.606577937004516,3,3.102007845370988,concreto,0,0,1
Linea_MX_01,123.09007506255213,28,23.569789496610465,1,7.780770361577438,concreto,0,1,1
Linea_MX_01,123.09341117597998,29,42.89896919717001,3,0.0,concreto,0,0,1
Linea_MX_01,123.09674728940784,30,32.07367656210472,0,1.1145839746459192,concreto,0,0,1
Linea_MX_01,123.1000834028357,31,41.16570944204105,2,1.548073055677659,concreto,0,0,1
Linea_MX_01,123.10341951626356,32,10.0,0,1.4569567900039062,concreto,0,0,1
Linea_MX_01,123.1067556296914,33,18.427003432352294,0,1.813740864125874,concreto,0,0,1
Linea_MX_01,123.11009174311927,34,34.50184148103124,1,5.4654278736724615,concreto,0,0,1
Linea_MX_01,123.11342785654712,35,58.911936476378735,3,7.289598485231041,bloque,0,0,1
Linea_MX_01,123.11676396997498,36,42.395464758146765,2,6.748123781967665,concreto,0,0,1
